lag_week_back,delta_mae_mean,delta_mae_std,ci_low,ci_high
12,0.10035030726564796,0.004328345045020301,0.09228611707406888,0.1080589269358394
11,0.05450665694766805,0.0035017519582585636,0.04775697941629532,0.06153033764929509
10,0.021677083947526547,0.002214419031021855,0.017652742997853407,0.02577525969102309
9,0.004979805519209606,0.0011711217206097496,0.0028987889108773343,0.007346088764556149
8,0.0007958117135049591,0.00039592315822192245,-4.44063836521756e-05,0.0015809748195653175
7,0.0006539215988560143,0.00023980521688891777,0.00021850202568262107,0.0011319706049138707
6,0.0006312319235405728,0.00034856962361556415,-5.259107367798842e-06,0.0013120130904405594
5,0.00048419017422158243,0.00029886201374272685,-0.0001339217241453836,0.0010323798744117532
4,0.00031536183413750045,0.00022683966316455466,-0.00014122127921523223,0.0007480961010530428
3,0.0001160967166819812,0.00012935966850573716,-0.00014938452357239306,0.0003711953341754683
2,3.536783301294286e-05,5.7409636416455165e-05,-7.610864072109986e-05,0.00013266751448588363
1,1.690785033067882e-05,1.352690803978483e-05,-1.0264899491438903e-05,4.1132925600328823e-05
